Time,Tweet,Likes
2022-12-15 18:22:50+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:22:30+00:00,Just realized that travelling 10 kms is not far by Delhi standards cuz it takes only 20 minutes to get from point A to B…,0
2022-12-15 18:22:17+00:00,"The Queen of humbleness ❤ 
The most divine soul that we have ever acrossed...
@shreyaghoshal 's bye bye to Bangalore &amp; hand we…",0
2022-12-15 18:22:13+00:00,"""We don't nourish cows, in fact, Gaay Humein Paalti Hai.""~Sant Shri Asharamji Bapu

#Ashram #Trust #Bengaluru conducted a Ga…",0
2022-12-15 18:21:39+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:21:16+00:00,"Jaipur to Bangalore on 13 th could not make it to the flight due to medical emergency.
@IndiGo6E had rescheduled my flight to next day.(14th)
@Cleartrip customer care called me the on 13 th and i told them the reason for cancellation. They ve cancelled my flight on 14th instead.",0
2022-12-15 18:21:15+00:00,"One year for boss blessings 🙏 through back bangalore #Pushpa press meet

Karnataka Gadda @alluarjun Adda 🔥 https://t.co/s…",0
2022-12-15 18:21:00+00:00,KGF is still a high Voltage movie in allover India.A PAN India successful hero @TheNameIsYash came all the way from Banga…,0
2022-12-15 18:19:53+00:00,"VFSGlobal How can I reach out to anyone in @VFSGlobal Bangalore to resolve my on going issue? It's been more than two weeks all Iam getting auto reply from your generic customer service and communication email address, no action has been taken till now.",0
2022-12-15 18:19:09+00:00,"actorvijay Because offline reality is totally different.... 

That's why he's scared 😂😂😂

Ajith sir Fan ba…",0
2022-12-15 18:18:19+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:17:55+00:00," was at a well known Hospital in Koramangala, Bangalore today with a relative. Safe to say 30-40% of the crow…",0
2022-12-15 18:17:55+00:00,"Bangalore - Most Of Theaters Demanding #Thunivu in Chamber 

{ Ka-Rights Business in Talks } C-Base Terms https://t.co/fcjX…",0
2022-12-15 18:17:40+00:00,"""We don't nourish cows, in fact, Gaay Humein Paalti Hai.""~Sant Shri Asharamji Bapu

#Ashram #Trust #Bengaluru conducted a Ga…",0
2022-12-15 18:17:30+00:00,ecently my Lufthansa flight from Bangalore to Frankfurt was delayed but since connecting flight was also Lufthansa on…,0
2022-12-15 18:16:47+00:00,A walk down through the memory lane on Day 2 of #Infy4Decades. The Virtual Living Labs is hosting a museum of all Infosys Memo…,0
2022-12-15 18:16:33+00:00,ChennaiTimesTOI @UpdatesChennai2 @TnInvestment @Guidance_TN @senthazalravi Of course..when you tell everyo…,0
2022-12-15 18:16:25+00:00,"Bangalore - Most Of Theaters Demanding #Thunivu in Chamber 💥😎

{ Ka-Rights Business in Talks } C-Base Term🔥

#Ajithkumar  #Chi…",0
2022-12-15 18:15:57+00:00,"""We don't nourish cows, in fact, Gaay Humein Paalti Hai.""~Sant Shri Asharamji Bapu

#Ashram #Trust #Bengaluru conducted a Ga…",0
2022-12-15 18:14:42+00:00,"OmG is this real 😍😍

#AjithKumar sir send this link to Kalyan master? 😍😍

#Thunivu https://t.co/4zld8WX4tT",0
2022-12-15 18:14:38+00:00,"The Mass Signature Step Is Not Revealed In #ChillaChilla  By @kayoas13  Master 🤙 

Waiting For Big Screen SAMBAVAM  IRU…",0
2022-12-15 18:14:38+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:14:30+00:00,"The guy looks really really old, actually like a fossil. Looks like a old vagrant in old Bangalore streets, unkempt hair…",0
2022-12-15 18:14:27+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:13:56+00:00,y mom and I were travelling from Indigo on 5th December from Chennai -Delhi via Bangalore.. We were asked to g…,0
2022-12-15 18:13:45+00:00,"Hearing a lot of conversations on social media about the meeting. Fact of the matter, Superstar Yash was at Taj Westin Hote…",0
2022-12-15 18:13:32+00:00,ChennaiTimesTOI @UpdatesChennai2 @TnInvestment @Guidance_TN @senthazalravi Of course..when you tell everyo…,0
2022-12-15 18:13:31+00:00,"Exhibitor T.Sridhar ""Vijay has this habit of releasing all his films on a solo festival date + Kgf2 decimated Beast in…",0
2022-12-15 18:13:30+00:00,"My son, born to a Punjabi family  in Bangalore, was 9 when he was asked, “Are you a North or South Indian”. He replied, “I…",0
2022-12-15 18:12:06+00:00,"Two Queens whom I absolutely adore a lot ❤️🙏🏻
@shreyaghoshal &amp; @sudhamurty 🙏🏻

#ShreyaGhoshal #SudhaMurthy #Infosys #InfosysTurns40 #InfosysAt40 #Bangalore #Events https://t.co/P9mDqRkS8i",0
2022-12-15 18:12:01+00:00,Writing this tweet after downloading 30mb app in 30min @reliancejio in Bangalore,0
2022-12-15 18:11:46+00:00,"26Th Dec 
Bangalore to hyd train Booked ✅️
28Th Dec 
Hyd to Bangalore train Booked ✅️

30Th Dec Bangalore #Badri Celebratio…",0
2022-12-15 18:11:34+00:00,ny girl in #Bangalore,0
2022-12-15 18:11:27+00:00,"et the ball rolling for the evening's entertainment at #JoyTown.

Visit in Mumbai on 7-8 Jan and Bangalor…",0
2022-12-15 18:11:25+00:00,"Pretty place! 💯

📍Street 1522, Bangalore https://t.co/VoJMmq1J2H",0
2022-12-15 18:11:24+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:11:18+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:11:01+00:00,"Passion towards work has a whole new meaning. 

#bangalore #bangalorecab https://t.co/wyNThnnjSX",9
2022-12-15 18:10:38+00:00,Looks a promising initiative. Bangalore Mirror reporters did a visit of one of the Namma Clinic in the city. https://t.c…,0
2022-12-15 18:10:32+00:00,"Superstar #Rajinikanth visits Pedda dargah with AR Rahman... 
https://t.co/WA6zUHMkPk https://t.co/OJTBqVSeqA",0
2022-12-15 18:10:24+00:00,"Dilraju degrading Ajith in his interview. Crying, complaining and begging for more screens in Tamilnadu. Hits a new low.…",0
2022-12-15 18:10:03+00:00,"One year for boss blessings 🙏 through back bangalore #Pushpa press meet

Karnataka Gadda @alluarjun Adda 🔥 https://t.co/s…",0
2022-12-15 18:09:59+00:00,"I have so much to talk about him. Which I'll in the coming days. But for now, let me tell you, I see him smiling, laugh…",0
2022-12-15 18:09:40+00:00,"Bangalore's December season officially began today at Surabharathi Sabha. Looking forward to @ArtSivasri, Flute Jayant…",0
2022-12-15 18:09:34+00:00,I know of enough Bangalore folks who unironically admire Hitler. It's sad that this SUV sticker doesn't surprise me at all. https://t.co/2NCseteRmk,14
2022-12-15 18:09:32+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:09:24+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:09:08+00:00,"#SOS
#Bangalore
Need #Blood Type :  O-positive
Blood Component : Blood 
Number of Units : 2
Primary Number : 8019422402…",0
2022-12-15 18:08:57+00:00,walking in Bangalore is a death sentence https://t.co/WYeGcmEsei,1
2022-12-15 18:08:56+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:08:47+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:08:14+00:00,"olunteer from Bangalore has zero alimony settlement at Supreme Court today. Gets child access also.

Even though c…",0
2022-12-15 18:08:09+00:00,ecently my Lufthansa flight from Bangalore to Frankfurt was delayed but since connecting flight was also Lufthansa on the same PNR they arranged for the next flight so don’t worry and you will find their staff after landing.,2
2022-12-15 18:08:06+00:00,#AAI takes pride in stretching duty hours for a new year's gift to #FlyKLH. Promoting a new connection to far south to…,0
2022-12-15 18:08:02+00:00,"Beautiful evening at @BLRAirport I didn't find any rush whatsoever, even the traffic on the roads wasn't bad from Banga…",0
2022-12-15 18:07:54+00:00,"2008:

Deaths due to Maoist terror: 721

Islamist terror attacks (2008):

Jaipur (71 dead)

Bangalore (1 dead)

Ahmedabad…",0
2022-12-15 18:07:05+00:00,#AAI takes pride in stretching duty hours for a new year's gift to #FlyKLH. Promoting a new connection to far south to…,0
2022-12-15 18:06:48+00:00,".😭 
Came to see her from Punjab to Bangalore,but she said get lost💔. https://t.co/ux2V62jeru",0
2022-12-15 18:06:11+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:06:00+00:00,$11.99 Standup Comedy career launching 5 star workbook- Gift your funny friend or family member this unique gift! Purchase Link: https://t.co/rm1x1x5lvO C https://t.co/dyO7DW6hA5 #bulls #aggies #bulls #mufc #mn #ky #tn  #mumbia #bollywood #pune #bangalore #kolkatta #newyork,0
2022-12-15 18:05:45+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:05:32+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:04:32+00:00,Nature @NCBS_Bangalore @TIFRScience Lovely write up - congrats Shannon and NICE lab!,0
2022-12-15 18:04:13+00:00,TNNavbharat @yrf @iamsrk @SRKUniverse @teamsrkfc @TeamSRKWarriors @SRK_FC @RedChilliesEnt @_GauravVerma @ShahRukhKhan_FC @WeSupport_SRK @SRKFC_PUNE @Srk_bangalore Everyone talking about boycott pathan be like 👇🏽👇🏽👇🏽&amp; these chatugiri anchors will increase their TRP with topics like these only. They will nvr talk about China incursions or Petrol prices https://t.co/wqPoRiqP47,0
2022-12-15 18:03:32+00:00,"26Th Dec 
Bangalore to hyd train Booked ✅️
28Th Dec 
Hyd to Bangalore train Booked ✅️

30Th Dec Bangalore #Badri Celebratio…",0
2022-12-15 18:03:32+00:00,Bangalore is playing fortnite,0
2022-12-15 18:02:45+00:00,"Hearing a lot of conversations on social media about the meeting. Fact of the matter, Superstar Yash was at Taj Westin Hote…",0
2022-12-15 18:02:21+00:00,"Namaskar to all Hindus 🙏

Kindly join Protest demanding formation of 'Separate Anti-Love Jihad Police Force' and ban on 'Hal…",0
